timestamp_utc,unix_ms,event_type,best_yes_bid,best_yes_ask,mid_yes,spread_yes,best_no_bid,best_no_ask,mid_no,spread_no,yes_depth_3,no_depth_3
2026-05-28T02:14:15.976121+00:00,1779934455976,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3252.28
2026-05-28T02:14:15.976648+00:00,1779934455976,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3252.28
2026-05-28T02:14:16.008525+00:00,1779934456008,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3252.28
2026-05-28T02:14:16.039935+00:00,1779934456039,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3252.28
2026-05-28T02:14:16.040558+00:00,1779934456040,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3252.28
2026-05-28T02:14:16.040990+00:00,1779934456040,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3252.28
2026-05-28T02:14:16.041555+00:00,1779934456041,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3252.28
2026-05-28T02:14:16.073142+00:00,1779934456073,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3501.28
2026-05-28T02:14:16.073862+00:00,1779934456073,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4462.37,3501.28
2026-05-28T02:14:16.075412+00:00,1779934456075,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4323.6,3501.28
2026-05-28T02:14:16.075990+00:00,1779934456075,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3501.28
2026-05-28T02:14:16.130327+00:00,1779934456130,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3501.28
2026-05-28T02:14:16.130919+00:00,1779934456130,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3501.28
2026-05-28T02:14:16.131492+00:00,1779934456131,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3676.28
2026-05-28T02:14:16.131949+00:00,1779934456131,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3610.76
2026-05-28T02:14:16.152251+00:00,1779934456152,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3810.76
